dataset,best_dev_acc,best_dev_f1,best_epoch,final_train_acc,final_train_f1,final_dev_acc,final_dev_f1,fine_tune_mode,lr,epochs,batch_size,hidden_dropout_prob,pooling_config,use_simple_classifier,use_rdrop,rdrop_alpha,weight_decay,max_grad_norm,unuse_schedule,warmup_ratio,run_group,filename,prediction_prefix,checkpoint_path,path
SST,0.4822888283378747,0.43173426736339326,4,0.5632022471910112,0.5171191827984568,0.4822888283378747,0.43173426736339326,full-model,1e-05,5,64,0.2,last,True,False,1.0,0,,True,,base_model,base-full-lr1e-5-ep5-seed1-full-model-sst-summary.json,base-full-lr1e-5-ep5-seed1-,checkpoints/sst.pt,runs/base_model/base-full-lr1e-5-ep5-seed1-full-model-sst-summary.json
SST,0.48138056312443234,0.42256223311111435,4,0.5359316479400749,0.4740287104250781,0.48138056312443234,0.42256223311111435,full-model,1.5e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed0-lr1p5em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed0-lr1p5em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed0-lr1p5em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed0-lr1p5em5-drop0p2-full-model-sst-summary.json
SST,0.4786557674841054,0.4348084634861505,9,0.5304307116104869,0.48370371210158875,0.4786557674841054,0.4348084634861505,last-linear-layer,0.001,10,64,0.2,last_mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json,Rdrop-last-mean-simple-linear-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json
SST,0.4786557674841054,0.3842203008676067,3,0.5316011235955056,0.45628490397593396,0.4768392370572207,0.39299390170635506,full-model,1e-05,5,64,0.2,,True,,,0.01,1.0,False,0.06,no-Rdrop-simple,no-Rdrop-simple-full-lr1e-5-ep5-full-model-sst-summary.json,no-Rdrop-simple-full-lr1e-5-ep5-,checkpoints/no-Rdrop-simple-full-lr1e-5-ep5-sst.pt,runs/no-Rdrop-simple/no-Rdrop-simple-full-lr1e-5-ep5-full-model-sst-summary.json
SST,0.47774750227066304,0.3900722398624098,8,0.5324204119850188,0.4878393506667889,0.47411444141689374,0.4329277002720162,last-linear-layer,0.001,10,64,0.2,last_mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json,Rdrop-last-mean-simple-linear-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json
SST,0.4768392370572207,0.36560774722528333,4,0.5088951310861424,0.38794045454677917,0.4768392370572207,0.36560774722528333,full-model,1e-05,5,64,0.2,,False,,,0.01,1.0,False,0.06,no-Rdrop-mlp,no-Rdrop-mlp-full-lr1e-5-ep5-full-model-sst-summary.json,no-Rdrop-mlp-full-lr1e-5-ep5-,checkpoints/no-Rdrop-full-lr1e-5-ep5-sst.pt,runs/no-Rdrop-mlp/no-Rdrop-mlp-full-lr1e-5-ep5-full-model-sst-summary.json
SST,0.4750227066303361,0.46003096650583064,3,0.5895365168539326,0.5555651030361147,0.4732061762034514,0.4412440140303813,full-model,2e-05,5,64,0.2,last,True,False,1.0,0,,True,,base_model,base-full-lr2e-5-ep5-seed0-full-model-sst-summary.json,base-full-lr2e-5-ep5-seed0-,checkpoints/sst.pt,runs/base_model/base-full-lr2e-5-ep5-seed0-full-model-sst-summary.json
SST,0.4750227066303361,0.3596481346754351,3,0.5067883895131086,0.38525177387794196,0.47411444141689374,0.3611029888318785,full-model,1e-05,5,64,0.2,last_mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.4732061762034514,0.4239130348803554,9,0.5244616104868914,0.47206944926363964,0.4732061762034514,0.4239130348803554,last-linear-layer,0.001,10,64,0.2,last_mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json,Rdrop-last-mean-simple-linear-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json
SST,0.4732061762034514,0.41326489846647574,7,0.5105337078651685,0.44645021996570106,0.4641235240690282,0.40682509038081954,last-linear-layer,0.001,10,64,0.2,last_mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json,Rdrop-last-mean-mlp-linear-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json
